学校名,郵便番号,住所,地区,市町村,電話番号,URL
専門学校 ITカレッジ沖縄,900-0022,沖縄県那覇市樋川1-1-77,南部,那覇市,0120-100-192,http://www.it-college.ac.jp/
専修学校インターナショナルデザインアカデミー高等課程,900-0021,沖縄県那覇市泉崎1-13-3,南部,那覇市,098-863-0936,http://hi.ida.ac.jp/
成道学園　専門学校ライフジュニアカレッジ,900-0037,沖縄県那覇市辻1-1-28,南部,那覇市,098-867-2811,http://www.life.ac.jp/
専門学校 沖縄ビジネス外語学院,900-0015,沖縄県那覇市久茂地1-2-20 OTV 国和プラザビル7F,南部,那覇市,098-863-3060,http://gaigo.biz/
育英義塾 教員養成学院,900-0011,沖縄県那覇市上之屋403-5,南部,那覇市,098-861-8838,http://www.ikueigijuku.com/
専修学校 育成保育カレッジ学院,901-2227,沖縄県宜野湾市字宇地泊548 番地,中部,宜野湾市,098-877-4980,http://www.ikusei-h.ac.jp/
KBC学園 専修学校 インターナショナルリゾートカレッジ,901-0155,沖縄県那覇市金城5-8-6,南部,那覇市,0120-069-154,http://www.irc.ac.jp/
KBC学園 専修学校 ビューティーモードカレッジ,900-0034,沖縄県那覇市東町23-5,南部,那覇市,0120-764-260,http://www.bmode.ac.jp/
KBC学園 専修学校 エルケア医療保育専門学校,900-0029,沖縄県那覇市旭町114-5,南部,那覇市,0120-607-445,http://www.lcare.ac.jp/
KBC学園 専修学校 沖縄大原簿記公務員専門学校,900-0029,沖縄県那覇市旭町114-5,南部,那覇市,0120-106-408,http://www.okinawa-o-hara.ac.jp/
KBC学園 専修学校 沖縄ペットワールド専門学校,900-0034,沖縄県那覇市東町19-20,南部,那覇市,0120-158-285,http://www.pet.ac.jp/
KBC学園 専修学校 国際電子ビジネス専門学校,900-0025,沖縄県那覇市壺川3-5-3,南部,那覇市,0120-611-590,http://www.kbc.ac.jp/
KBC学園 専修学校 インターナショナルデザインアカデミー,901-2131,沖縄県浦添市牧港1-60-14,中部,浦添市,098-877-4980,http://www.ida.ac.jp/
湘央学園 浦添看護学校,901-2104,沖縄県浦添市当山2-30-1,中部,浦添市,098-877-4980,http://www.urasoe-ns.ac.jp/
湘央学園 沖縄アカデミー専門学校,901-0201,沖縄県豊見城市真玉橋387番地1号,南部,豊見城市,0120-788-294,http://www.coa.ac.jp/
沖縄ウエル専門学校,900-0012,沖縄県那覇市泊1-7-2,南部,那覇市,098-860-7819,http://www.okinawa-well.ac.jp/
沖縄学院,901-2131,沖縄県浦添市牧港4丁目7番8号,中部,浦添市,098-877-4980,http://okinawagakuin.jp/
沖縄写真デザイン工芸学校,900-0014,沖縄県那覇市松尾2-1-13,南部,那覇市,098-868-2288,http://www.ryubi-ac.com/
琉美インターナショナルビューティカレッジ,900-0013,沖縄県那覇市牧志2-6-25,南部,那覇市,098-868-2288,http://www.ryubi-ac.com/
沖縄情報経理専門学校,904-0014,沖縄県沖縄市仲宗根町８－１１,中部,沖縄市,098-877-4980,http://www.oac.ac.jp/
沖縄情報経理専門学校 那覇校,900-0012,沖縄県那覇市泊2-1-8,南部,那覇市,098-862-3719,http://www.oac.ac.jp/
沖縄情報経理専門学校 名護校,905-0006,沖縄県名護市宇茂佐915-11,北部,名護市,0980-52-5612,http://www.oac.ac.jp/
学校法人・専門学校 沖縄中央学園,904-0021,沖縄県沖縄市胡屋5-13-2,中部,沖縄市,098-877-4980,http://www.ocg.ac.jp/
専門学校 沖縄ブライダル・モード学園,904-0012,沖縄県沖縄市安慶田5-1-16,中部,沖縄市,098-877-4980,http://www.bmg.ac.jp/
沖縄調理師専門学校,900-0033,沖縄県那覇市久米1-18-7,南部,那覇市,098-861-7100,http://www.okicho.ac.jp/
大庭学園 沖縄福祉保育専門学校,900-0033,沖縄県那覇市久米1-5-17,南部,那覇市,098-868-5796,http://www.ooba-gakuen.ac.jp/
大庭学園 ソーシャルワーク専門学校,901-2304,沖縄県中頭郡北中城村屋宜原212-1,中部,北中城村,098-877-4980,http://www.ooba-gakuen.ac.jp/
海邦電子ビジネス専門学校,904-2245,沖縄県うるま市赤道360-2,中部,うるま市,098-877-4980,http://www.kaiho.ac.jp/
サイ・テク・カレッジ,904-0115,沖縄県中頭郡北谷町美浜1丁目5-16,中部,北谷町,098-877-4980,http://www.sci-tec.ac.jp/
南星学園 サイ･テク･カレッジ那覇,900-0005,沖縄県那覇市天久2丁目1-13,南部,那覇市,098-865-2800,http://stc-naha.ac.jp/
専修学校 パシフィックテクノカレッジ学院,901-2224,沖縄県宜野湾市真志喜3-29-1,中部,宜野湾市,098-877-4980,http://www.ptc.ac.jp/
専門学校 尚学院国際ビジネスアカデミー SIBA,900-0012,沖縄県那覇市泊2-17-4,南部,那覇市,0120-61-3515,http://www.siba.ac.jp/
石川学園 専門学校 大育,902-0066,沖縄県那覇市大道88-5,南部,那覇市,0120-557-370,http://www.daiiku.ac.jp/senmon/index.jsp
大育情報ビジネス専門学校,902-0066,沖縄県那覇市大道77,南部,那覇市,0120-557-370,http://www.daiiku.ac.jp/business/index.jsp
石川学園 大育理容美容専門学校,902-0066,沖縄県那覇市大道5-1,南部,那覇市,0120-557-370,http://www.daiiku.ac.jp/riyoubiyou/index.jsp
専門学校 那覇日経ビジネス,902-0067,沖縄県那覇市安里1-1-53,南部,那覇市,098-866-9611,http://www.n-nikkei.ac.jp/
専門学校 日経ビジネス,904-0032,沖縄県沖縄市諸見里1-25-1,中部,沖縄市,098-877-4980,http://www.n-nikkei.ac.jp/
スターウッドBeB美容専門学校,901-2223,沖縄県宜野湾市大山7-9-8,中部,宜野湾市,098-877-4980,http://www.sola.ac.jp/starwood/
SOLA沖縄保健医療工学院 沖縄美容学園 中部美容 専門学校,904-2173,沖縄県沖縄市比屋根1-10-2,中部,沖縄市,098-877-4980,http://www.okinawa1chu-bi.jp/
那覇情報システム専門学校,902-0067,沖縄県那覇市安里2-6-51,南部,那覇市,0120-600-461,http://www.n-cis.ac.jp/index.jsp
みのり学園　琉球調理師専修学校,902-2126,沖縄県浦添市宮城5-2-3,中部,浦添市,098-877-4980,http://minori-gakuen.ac.jp/ryucho/
智晴学園 専門学校 琉球リハビリテーション学院,904-1201,沖縄県国頭郡金武町金武4348-2,北部,金武町,0120-490-515,http://www.ryukyu.ac.jp/
